category,allegation_name,percentage
Lockup Procedures,Escape,0
Lockup Procedures,Telephone / Attorney / Relative Privileges,0
Operation/Personnel Violations,Seat Belts,0
Lockup Procedures,Bonding/Booking/Processing,0
Bribery / Official Corruption,Gang Affiliation,0
Criminal Misconduct,Criminal Sexual Assault,0
Traffic,Fail To Enforce Traffic Regulations,0
Operation/Personnel Violations,Weapon / Ammunition,0
Operation/Personnel Violations,Misuse Of Department Records,0
Conduct Unbecoming (Off-Duty),Abuse Of Authority,0
Operation/Personnel Violations,Court Attendance Irregularities,0
Supervisory Responsibilities,Initiate Proper Action,0
Operation/Personnel Violations,"Leaving Assignment (District, Beat, Sector, Court)",0
Operation/Personnel Violations,Traffic Pursuit,0
Lockup Procedures,Excessive Detention - After Arrest,0
Criminal Misconduct,Other Felony,0
Operation/Personnel Violations,Residency,0
Operation/Personnel Violations,Absent Without Permission,0
Drug / Alcohol Abuse,Intoxicated On Duty,0
Use Of Force,"U Converted To C.R. (Records Keeping Only, Initial)",0
Drug / Alcohol Abuse,Use / Abuse Drugs / Controlled Substance - Off Duty,0
Operation/Personnel Violations,Secondary/Special Employment,0
Bribery / Official Corruption,Solicit / Accept Bribe (Traffic),0
Operation/Personnel Violations,Vehicle Licensing - State,0
Criminal Misconduct,"Assault / Battery, Etc.",0
Supervisory Responsibilities,Conduct An Improper / Inadequate Investigation,0
Use Of Force,Excessive Force - Use Of Firearm / On Duty - No Injury,0
Traffic,Preventable Traffic Accident,0
Bribery / Official Corruption,Solicit / Accept Bribe (Non-Traffic),0
Conduct Unbecoming (Off-Duty),Traffic Violations (Other Than D.U.I.),0
Bribery / Official Corruption,Use Of Official Position,0
Conduct Unbecoming (Off-Duty),Indebtedness To City,0
Traffic,Violation (Other Than D.U.I.) - On Duty,0
Drug / Alcohol Abuse,Intoxicated Off Duty,0
First Amendment,First Amendment,0
Operation/Personnel Violations,Compensatory Time,0
Drug / Alcohol Abuse,Possession / Drinking Alcohol - On Duty,0
Supervisory Responsibilities,Properly Direct Subordinate,0
Operation/Personnel Violations,Political Activity,0
Drug / Alcohol Abuse,Just Cause,0
Criminal Misconduct,Robbery,0
Conduct Unbecoming (Off-Duty),Judicial Process/Directive - Contempt,0
Drug / Alcohol Abuse,Impairment .04 Or Greater - Off Duty,0
Bribery / Official Corruption,An Act To Circumvent Criminal Prosecution,0
Racial Profiling,Racial Profiling,0
Bribery / Official Corruption,Extortion,0
Drug / Alcohol Abuse,Use / Abuse Drugs / Controlled Substance - On Duty,0
Conduct Unbecoming (Off-Duty),Sexual Misconduct,0
Bribery / Official Corruption,Recommend Professional Service,0
Drug / Alcohol Abuse,Positive Drug Screen - Other Physical Exam,0
Use Of Force,Excessive Force - Taser - Use Of,0
Operation/Personnel Violations,Late - Roll Call / Assignment / Court,0
Criminal Misconduct,Burglary,0
Drug / Alcohol Abuse,D.U.I. - Off Duty,0
Criminal Misconduct,Police Impersonator (Advocate Section Use Only),0
Conduct Unbecoming (Off-Duty),Misdemeanor Arrest,0
Drug / Alcohol Abuse,Impairment .04 Or Greater - On Duty,0
Supervisory Responsibilities,Properly Review / Inspect Subordinate,0
Bribery / Official Corruption,Gratuity,0
Operation/Personnel Violations,Lunch / Personal Violations,0
Criminal Misconduct,Arson,0
Operation/Personnel Violations,Forwarded To O.E.C.,0
Operation/Personnel Violations,Unfit For Duty,0
Criminal Misconduct,"Murder / Manslaughter, Etc.",0
Drug / Alcohol Abuse,Positive Drug Screen - Originated From Complaint,0
Use Of Force,Injury / Death (Under Color Of Law),0
First Amendment,Failure To Ensure Civil Rights,0
Drug / Alcohol Abuse,D.U.I. - On Duty,0
Conduct Unbecoming (Off-Duty),Drivers License - Revoked / Suspended,0
Criminal Misconduct,Auto Theft,0
Conduct Unbecoming (Off-Duty),Vehicle Licensing - State,0
Bribery / Official Corruption,"Bribe, Failure To Report",0
Drug / Alcohol Abuse,"D.U.I., Drugs / Controlled Substance - Off Duty",0
Drug / Alcohol Abuse,"D.U.I., Drugs / Controlled Substance - On Duty",0
Drug / Alcohol Abuse,Positive Drug Screen - Promotion Physical,0
Supervisory Responsibilities,Miscellaneous,0
Conduct Unbecoming (Off-Duty),Miscellaneous,0
Drug / Alcohol Abuse,Positive Drug Screen - Recruit,0
Criminal Misconduct,Shoplifting,0
Drug / Alcohol Abuse,Refusal Of Direct Order To Provide Drug Screen Specimen,0
